model,sequence
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,","
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
neural,</s>
neural,<s>
